eng,dzo
Do you think Karma is still home?,ཁྱོད་ཀྱིས་འབད་བ་ཅིན་ ཀརྨ་ད་ལྟོ་ཡང་ཁྱིམ་ནང་ཡོད་ཟེར་མནོཝ་མས་ཡ།
Do you think anyone can see me?,ཁྱོད་ཀྱིས་འབད་བ་ཅིན་ ག་འབད་རུང་ཅིག་གིས་ ང་མཐོང་ཚུགས་ཟེར་མནོཝ་མས་ཡ།
Do you think anyone can see us?,ཁྱོད་ཀྱིས་འབད་བ་ཅིན་ ག་འབད་རུང་ཅིག་གིས་ ང་བཅས་མཐོང་ཚུགས་ཟེར་མནོཝ་མས་ཡ།
Do you think he will like that?,ཁྱོད་ཀྱིས་འབད་བ་ཅིན་ ཁོ་གིས་འདི་དགའ་ཟེར་མནོཝ་མས་ཡ།
Do you think our team will win?,ཁྱོད་ཀྱིས་འབད་བ་ཅིན་ ང་བཅས་ཀྱི་སྡེ་ཚན་རྒྱལ་ཁ་ཐོབ་ཟེར་མནོཝ་མས་ཡ།
Do you think that Karma is happy?,ཁྱོད་ཀྱིས་འབད་བ་ཅིན་ ཀརྨ་འདི་སེམས་དགའ་ནུག་ཟེར་མནོཝ་མས་ཡ།
Do you think that's the answer?,ཁྱོད་ཀྱིས་འབད་བ་ཅིན་ ཨ་ཕི་དེ་ ལན་ཨིན་ཟེར་མནོཝ་མས་ཡ།
Do you think you could help me?,ཁྱོད་ཀྱིས་འབད་བ་ཅིན་ ཁྱོད་ཀྱིས་ང་ལུ་ཆ་རོགས་འབད་ཚུགས་ནི་མས་ཟེར་མནོཝ་མས་ཡ།
Do you want a few more minutes?,ཁྱོད་ དོ་རུང་སྐར་མ་དག་པ་ཅིག་དགོ་ཡ།
Do you want any of these books?,ཁྱོད་ འ་ནཱི་དཔེ་དེབ་ཚུ་ལས་གང་རུང་ཅིག་དགོ་ཡ།
Do you want me to believe that?,ཁྱོད་ཀྱིས་ ང་དེ་ལུ་ཡིད་ཆེས་བསྐྱེད་དགོཔ་ཨིན་ན།
Do you want me to tell you why?,ང་གིས་ཁྱོད་ལུ་ ག་ཅི་འབད་ཨིན་ན་ སློབ་དགོཔ་སྦེ་ཨིན་ན།
Do you want some hot chocolate?,ཁྱོད་བྱི་རིལ་ཚ་ཏོམ་ཨ་ཙི་ཅིག་དགོ་ག།
Do you want something to drink?,ཁྱོད་འཐུང་ནི་གི་ག་ཅི་ཅིག་དགོ་ནི་ཡ།
Do you want to become a father?,ཁྱོད་ཨ་པ་གྱུར་དགོ་མནོ་ཡི་ཡ།
Do you want to do it right now?,ཁྱོད་ཀྱིས་འདི་ད་ལྟོ་ར་འབད་དགོ་མནོ་ཡི་ཡ།
Do you want to eat out tonight?,ཁྱོད་ ད་རེས་ཕྱི་རུ་ཕྱི་ཁ་ཟ་དགོ་མནོ་ཡི་ཡ།
Do you want to get out of here?,ཁྱོད་ནཱ་ལས་འཐོན་འགྱོ་དགོ་མནོཝ་མས་ཡ།
Do you want to go to the party?,ཁྱོད་ཟས་སྟོན་ནང་འགྱོ་དགོ་མནོཝ་མས་ཡ།
Do you want to know who helped?,ག་གིས་ཆ་རོགས་འབད་ཡི་ག་ ཁྱོད་ ཤེས་དགོ་མནོཝ་མས་ཡ།
Do you want to rent your house?,ཁྱོད་ཀྱི་ཁྱིམ་གླ་ཁར་གཏང་དགོ་མནོཝ་མས་ཡ།
Do you want to sell your house?,ཁྱོད་ཀྱི་ཁྱིམ་བཙོང་དགོ་མནོཝ་མས་ཡ།
Do you want to wait in the bar?,ཁྱོད་ཆང་ཁང་ནང་ལུ་བསྒུག་སྡོད་ནི་ཡ།
Doctors are the worst patients.,དྲུང་འཚོ་ཚུ་ ཚུ་ནདཔ་སྐྱོ་ཤོས་ཅིག་ཨིན།
Does Karma have a lot of friends?,ཀརྨ་ལུ་ཆ་རོགས་ལེ་ཤ་ཡོད་ཡ།
Does Karma have an older brother?,ཀརྨ་ལུ་ཕོ་རྒནམོ་སྦོམ་ཤོས་ཅིག་ཡོད་ཡ།
Does Karma speak French fluently?,ཀརྨ་གིས་ཕེརིནཆི་དག་ཏོག་ཏོ་སྦེ་སླབ་མས་ཡ།
Does Karma still play the guitar?,ཀརྨ་གིས་ད་ལྟོ་ཡང་གི་ཊར་བསྐྲོགཔ་མས་ཡ།
Does Karma talk to you in French?,ཀརྨ་གིས་ཁྱོད་ལུ་ཕེརིནཆི་ནང་སླབ་ཨིན་ན།
Does anybody have a can opener?,ག་འབད་རུང་ཅིག་ལུ་ལྕགས་ཊིན་ཕྱེ་མི་ཅིག་ཡོད་ག།
Does anyone want some more pie?,ད་རུང་ལེབ་ཅིག་ ག་འབད་རུང་དགོ་མི་ཡོད་ག།
Does he know that you love him?,ཁྱོད་ཀྱིས་ཁོ་ལུ་དགའཝ་ཨིནམ་ ཁོ་གིས་ཤེས་ག།
Does someone here speak French?,ནཱ་ལུ་ཡོད་མི་ཅིག་གིས་ ཕེརིནཆི་སླབ་འོང་ག།
Does that make you feel better?,དེ་གིས་ ཁྱོད་ཨ་ཙི་ཅིག་དྲགཔ་སྦེ་ཚོརཝ་བཅུགཔ་མས་ག།
Does the end justify the means?,གྲུབ་འབྲས་འདི་གིས་ ཐབས་ལམ་འདི་བདེན་ཁུངས་གཟང་མས་ག།
Does this look familiar to you?,འ་ནཱི་འདི་ཁྱོད་ལུ་ རྒྱུས་ཆ་ཅན་ཅིག་མཐོང་མས་ག།
Doesn't that car look familiar?,ཨ་ཕི་ཀཱར་དེ་ རྒྱུས་ཆ་ཅན་ཅིག་མི་མཐོང་པས་ཡ།
Doesn't that strike you as odd?,དེ་གིས་ ཁྱོད་ལུ་མ་འདྲཝ་ཅིག་སྦེ་གོ་མི་བཅུག་པས་ཡ།
Doing that would be a bad idea.,ཨ་ཕི་འབད་ནི་དེ་ གནས་སྐབས་ལེགས་ཤོམ་ཅིག་མེནམ་འོང་།
Don't be ashamed of being poor.,སྤྱང་ཀ་ཨིན་མི་ལུ་ངོ་མ་ཚ།
Don't be fooled by appearances.,མཐོང་ཚུལ་གྱིས་མགུ་བསྐོར་མ་བཅུག།
Don't be late for school again.,སློབ་གྲྭ་ནང ་དོ་རུང་མ་འཕྱིསམས།
Don't blame the mistake on her.,འཛོལ་བ་འདི་མོ་ལུ་ཁ་མ་གཏང་།
Don't bother with what he said.,ཁོ་གིས་སླབ་མི་འདི་གིས་ ཚ་གྱང་མ་ལངས།
Don't buy me any more presents.,ང་ལུ་ད་འབདན་ཁྱོསམ་ཉོ་མི་དགོ།
Don't call me so late at night.,ནམ་ཕྱི་རུ་འཕྱིས་སུ་ཅིག་ལུ་ ང་ལུ་རྒྱུད་འཕྲིན་མ་གཏང་།
Don't cast pearls before swine.,ཕགཔ་གིས་གདོང་ཁ་མུ་ཏིག་མ་བཀོ། དགའ་ཚོར་མེད་མི་ལུ་ ལེགས་ཤོམ་མ་འབད།
Don't confuse desire with love.,ཆགས་སེམས་འདི་བྱམས་བརྩེ་དང་གཅིག་ཁར་མགུ་མ་འཐོམ།
Don't do anything until I come.,ང་མ་འོང་ཚུན་ག་ཅི་ཡང་མ་འབད།
Don't ever do that to me again.,འ་ནཱི་འདི་ ནམ་ར་འབད་རུང་ང་ལུ་ལོག་སྟེ་མ་འབད།
Don't expect any mercy from me.,ང་ལས་སྙིང་རྗེ་ཨ་ཙི་ཅིག་ཡང་རེ་བ་མ་བསྐྱེད།
Don't fix it if it ain't broke.,དེ་མ་དཀྲུམ་པར་ཡོད་པ་ཅིན་ བཅོ་ཁ་མ་རྐྱབ།
Don't forget that Karma is blind.,ཀརྨ་དེ་མིག་ཏོ་ཞརཝ་ཨིནམ་སེམས་ལས་མ་བརྗེད།
Don't forget to sign your name.,ཁྱོད་ཀྱིས་མིང་ས་ཡིག་རྐྱབ་ནི་མ་བརྗེད།
Don't forget your water bottle.,ཁྱོད་ཀྱིས་ཆུ་གི་དམ་སྦྱིས་འདི་བརྗེད་མ་སོང།
Don't give in to peer pressure.,མི་འདྲ་མཉམ་གྱི་གནོན་ཤུགས་ལུ་མ་ཐལ།
Don't give it a second thought.,འདི་ལུ་མནོ་བསམ་ལོག་མ་གཏང་།
Don't just take my word for it.,དེ་གི་དོན་ལུ་ ངེ་གི་བློ་རྐྱངམ་ཅིག་ལུ་མ་ཉན།
"Don't just whine, do something!",བྱེལ་སྐད་ཤོར་ནི་རྐྱངམ་ཅིག་མེན་པར་ ག་ཅི་ཅིག་འབད།
Don't leave your things behind.,ཁྱོད་རའི་ཅ་ལ་ཚུ་རྒྱབ་ཁར་མ་བཞག།
Don't let appearances fool you.,མཐོང་ཚུལ་ཚུ་གིས་ ཁྱོད་རང་མགུ་བསྐོར་མ་བཅུག།
Don't let him do it by himself.,འདི་ཁོ་རང་རྐྱངམ་ཅིག་གིས་སྦེ་འབད་མ་བཅུག།
Don't let him know her address.,མོ་གི་ཁ་བྱང་འདི་ ཁོ་གིས་ཤེས་མ་བཅུག།
Don't lose your sense of humor.,ཁྱོད་རའི་ དགོད་བྲའི་དགའ་སྣང་འདི་ འབྱང་མ་བཅུག།
Don't make fun of other people.,མི་གཞན་ལུ་དགོད་བྲོ་མ་བཟོ།
Don't make me lose my patience.,ངེ་གིས་བཟོད་བསྲན་འདི་ཉམས་མ་བཅུག།
Don't make me pull the trigger.,ང་གིས་ཀྲོབ་མདའི་རྟ་འཐོན་མ་བཅུག། ལཱ་འདི་ང་གིས་འབད་མ་བཅུག།
Don't make this decision today.,འ་ནཱི་གྲོས་ཐག་འདི་ ད་རེས་མ་བཅད་།
Don't move until I tell you to.,ང་གིས་མ་སླབ་ཚུན་ མ་སྤར་མས།
Don't open the door for anyone.,ག་གི་དོན་ལུ་ཡང་ སྒོ་མ་ཕྱེ།
Don't point your gun at anyone.,ཁྱོད་ཀྱིས་ཀྲོབ་མདའ་འདི་ ག་ལུ་ཡང་མ་དཔག།
Don't pry into my private life.,ངེའི་མི་ཚེ་ནང་ བར་འཛུལ་མ་འབད།
Don't raise my hopes like that.,ངེའི་རེ་བ་ དེ་འབད་ཡར་མ་འཐུ།
Don't risk insulting your boss.,ཁྱོད་རའི་གོང་མ་ལུ་སྐྱོན་བརྗོད་འབད་དེ་ ཉེན་ཁ་མ་འབག།
Don't say that word ever again.,ཨ་ཕི་ཚིག་དེ ལོག་སྟེ་ནམ་ཡང་མ་སླབ།
Don't sneak out of the concert!,གླུ་གཞས་ཀྱི་ལས་རིམ་གྱི་ཕྱི་ཁར་འཐོན་མ་འགྱོ།
Don't sneak up on me like that.,ང་ལུ་དེ་སྦེ་ སྦོ་ལོགས་ཁར་མ་སྦྱར།
Don't spread yourself too thin.,ཁྱོད་རང་ གཅིག་ལུ་ཡང་ཕན་མ་ཐོགཔ་སྦེ་ ལས་སྣ་མང་རབས་ཅིག་ནང་ གྲལ་ཁར་མ་གཏོགས།
Don't stand next to the window.,སྒོ་སྒྲིག་གི་སྦོ་ལོགས་ཁར་ལོང་མ་སྡོད།
Don't stay in the sun too long.,ཉིམ་ནང་ལུ་གནམ་མེད་ས་མེད་ཡུན་རིངམོ་སྦེ་མ་སྡོད།
Don't step on the broken glass.,ཤེལ་ཆག་མི་གུ་ལུ་རྐངམ་མ་བཀལ།
Don't talk. They might hear us.,བློ་མ་སླབ། ང་བཅས་ ཁོང་གིས་གོ་འོང་།
Don't think about that anymore.,ད་ དེ་གི་སྐོར་ལས་ མནོ་བསམ་མ་གཏང་།
Don't throw away this magazine.,འ་ནཱི་དུས་དེབ་འདི་བཀོ་མ་གཏང་།
Don't treat me like I'm stupid.,ང་འབྱུང་ཁུངས་མེདཔ་བཟུམ་བརྩི་མཐོང་མེདཔ་མ་འབད།
Don't use computer translation.,གློག་རིག་སྐད་བསྒྱུར་འདི་ལག་ལེན་མ་འཐབ།
Don't use up all the hot water.,ཆུ་ཚ་ཏོམ་ག་ར་རྫོགས་མ་གཏང་།
Don't waste your breath on Karma.,ཁྱོད་ཀྱིས་ཀརྨ་ལུ་ སྐུལ་སློང་འབད་དེ་ཁུངས་མེད།
Don't worry about such a thing.,འ་ནཱི་བཟུམ་གྱི་སྐོར་ལས་ཚ་གྱང་མ་ལངས།
Don't worry. I'll be back soon.,ཚ་གྱང་མ་ལངས། ང་མགྱོགས་པ་ར་ལོག་འཐོན་འོང་།
Don't you ever clean your room?,ཁྱོད་ཀྱིས་ ཁྱོད་རའི་ཁང་མིག་འདི་ འཕྱག་ནི་རང་མེད་ཡ།
Don't you have a full-time job?,ཁྱོད་ལུ་ ལཱ་གཡོག་བརྟན་བརྟན་ཅིག་མེད་ཡ།
Don't you have some work to do?,ཁྱོད་ལུ་ ལཱ་འབད་དགོཔ་ཅིག་མེད་ཡ།
Don't you have something to do?,ཁྱོད་ལུ་ ག་ཅི་ཅིག་འབད་ནི་ མེད་ཡ།
Don't you hear what I'm saying?,ཁྱོད་ཀྱིས་ང་གིས་སླབ་མི་འདི་མི་གོ་བས་ཡ།
Don't you just hate technology?,ཁྱོད་ཀྱིས་འཕྲུལ་རིག་འདི་ལུ་ མ་དགའཝ་མི་འབད་བས་ཡ།
Don't you think it a bad thing?,ཁྱོད་ཀྱིས་འབད་བ་ཅིན་ འ་ནཱི་འདི་ཟོགཔོ་ཅིག་ཨིནམ་བཟུམ་མི་མཐོང་པས་ཡ།
Don't you think it's wonderful?,ཁྱོད་ཀྱིས་ འ་ནཱི་འདི་ངོ་མཚར་ཅན་ཅིག་ཨིན་པས་ཟེར་མི་མནོ་བས་ཡ།
Don't you think that's strange?,ཁྱོད་ཀྱིས་འབད་བ་ཅིན་ ཨ་ཕི་དེ་ ཧ་ལས་སི་སི་ཨིནམ་བཟུམ་མི་མཐོང་པས་ཡ།
Don't you want to say anything?,ཁྱོད་ཀྱིས་ ག་ནི་ཡང་སླབ་དགོ་མནོཝ་མེད་ཡ།
Each child was given a present.,ཨ་ལུ་རེ་རེ་ལུ་ཁྱོསམ་ཅིག་བྱིན་ནུག།
Each of them was given a prize.,ཁོང་རེ་རེ་ལུ་གསོལ་ར་རེ་བྱིན་ནུག།
English is a Germanic language.,ཨིང་སྐད་འདི་ཇཱར་མ་ནིཀ་སྐད་ཡིག་ཨིན།
English is spoken in Australia.,ཨིང་སྐད་འདི་ ཨཱོས་ཊེ་ལི་ཡ་ལུ་སླབ་ནི་ཡོད།
English is spoken in Singapore.,ཨིང་སྐད་འདི་ སིང་ག་པོར་ནང་སླབ་ཨིན།
Eternity is a really long time.,རྫོགས་ནི་མེདཔ་ཟེར་མི་འདི་ དུས་ཚོད་རིངམོ་ཅིག་ཨིན།
Even Karma is a little surprised.,ཀརྨ་ཡང་ཨ་ཙི་ཧ་ལས་ནུག།
Even his servants despised him.,ཐ་ན་ཁོ་རའི་འཇའ་རོགས་ཀྱིས་ཡང་ ཁོ་ལུ་མ་དགའ་ནུག།
Every mistake made me stronger.,འཛོལ་བ་རེ་རེ་གིས་ང་སྒྲིང་སྒྲིང་བཟོ་ཡི།
Every nation has its own myths.,རྒྱལ་ཁབ་རེ་རེ་ལུ་ ཁོང་རའི་ལོ་རྒྱུས་རེ་ཡོདཔ་ཨིན།
Every playground has its bully.,རྩེད་ཐང་ག་ར་ནང་ ཁོང་རའི་བང་བཙོང་མི་རེ་རེ་ཡོདཔ་ཨིན།
Everybody needs help sometimes.,མི་ག་ར་འཕྲལ་འཕྲལ་འདི་ཆ་རོགས་དགོཔ་ཨིན།
Everybody wants to protect you.,མི་ག་ར་གིས་ ཁྱོད་བསྲུང་སྐྱོབ་འབད་དགོ་མནོ་བའི་རེ་བ་མས།
"Everybody was crying, even Karma.",མི་ག་ར་དང་ མཐའ་ན་ཀརྨ་ཡང་ སྔུ་སྡོད་ནུག།
Everybody went to the same bar.,མི་ག་ར་ཆང་ཁང་གཅིག་ནང་འགྱོ་ནུག།
Everybody wishes for happiness.,མི་ག་ར་དགའ་བ་རེ་ཆེ་བསྐྱེདཔ་མས།
Everybody's having a good time.,མི་ག་ར་སེམས་དགའ་སྟེ་འདུག།
"Everybody, get out of my house.",མི་ག་ར་ ངེ་གི་ཁྱིམ་ནང་ལས་འཐོན་སོང་།
Everyone except me was invited.,ང་མ་གཏོགས་གཞན་ག་ར་འབོ་ནུག།
Everyone in his family is tall.,ཁོ་གི་བཟའ་ཚང་ནང་ མི་ག་ར་གཟུགས་རིངམོ་འདུག།
Everyone in my family is happy.,ངེ་གི་བཟའ་ཚང་ནང་ མི་ག་ར་སེམས་དགའ་སྟེ་ཡོད།
Everyone is free to contribute.,གྲོགས་རམ་འབད་ནི་ལུ་ ག་ར་ལུ་ག་དགའཝ་ཨིན།
Everyone is interested in that.,མི་ག་ར་དེ་ལུ་སྤྲོ་བ་འདུག།
Everyone knows what's going on.,མི་ག་ར་གིས་ ག་ཅི་འབདཝ་ཨིན་ན་ཤེས།
Everyone needs to stay focused.,མི་ག་ར་དམིགས་པ་གཏད་དེ་སྡོད་དགོ།
Everyone said that I was wrong.,མི་ག་ར་གིས་ ང་འཛོལ་བ་སྡོད་ཡི་ཟེར་སླབ་ཅི།
Everyone thinks the same thing.,མི་ག་ར་གིས་ ཅོག་འཐདཔ་སྦེ་ མནོ་བསམ་གཏང་མས།
Everyone thinks we're a couple.,མི་ག་ར་གིས་ ང་བཅས་གཉིས་བཟའ་གྲོགས་ཨིན་མས་ཟེར་མནོཝ་མས།
Everyone wanted to talk to Karma.,མི་ག་ར་ཀརྨ་དང་་བློ་སླབ་དགོ་མནོ་ནུག།
Everyone's having a great time.,མི་ག་ར་དགའ་སྤརོ་བྱུང་སྟེ་འདུག།
Everything about this is wrong.,འ་ནཱི་གི་སྐོར་ལས་ག་ར་འཛོལ་བ་ཨིན།
Everything changes after a war.,དམག་གིས་ཤུལ་ལས་ ག་ར་མ་འགྱུར་འགྱོཝ་ཨིན།
Everything is extremely simple.,ག་ར་ གནམ་མེད་ས་མེད་འཇམ་ཏོང་ཏོ་ཨིན།
Everything is going to be fine.,ག་ར་ ལེགས་ཤོམ་འགྱོ་འོང།
Everything seems normal enough.,ག་ར་ ཨ་རྟག་བཟུམ་སྦེ་མཐོངམ་མས།
Everything went horribly wrong.,ག་ར་ ཤུགས་སྦེ་འཛོལ་སོང་ནུག།
Everything's going to work out.,ག་ར་ལེགས་ཤོམ་འགྱོ་འོང་འོང་།
Excuse me for interrupting you.,ཁྱོད་ལུ་བར་འཛུལ་རྐྱབ་མི་ལུ་ དགོངསམ་མ་ཁྲེལ།
Experience is the best teacher.,ཉམས་མྱོང་འདི་སློབ་དཔོན་དྲག་ཤོས་ཨིན།
Father bought me a new bicycle.,ཨ་པ་གིས་ང་ལུ་རྐང་འཁོར་གསརཔ་ཅིག་ཉོ་བྱིན་ཡི།
Father is coming home tommorrow.,ནངས་པར་ ཨ་པ་ཁྱིམ་ནང་འོང་དོ།
Fear is essential for survival.,གསོན་གནས་ཀྱི་དོན་ལུ་ འཇིགས་སྣང་འདི་མཁོ་ཆེ་བ་ཅིག་ཨིན།
Feel free to ask any questions.,དྲི་བ་ག་ཅི་བཟུམ་ཡོད་རུང་ བཀོད་ནི་ལུ་སེམས་བློ་བདེ་ད།
"Feeling sick, he stayed in bed.",ན་ནི་འདི་གིས་ མལ་ཆ་ནང་སྡོད་ནུག།
Few girls were late for school.,བུམོ་དག་པ་ཅིག་སློབ་གྲྭ་ནང་འཕྱིས་ནུག།
Few people came to the lecture.,གསལ་བཤད་ནང་ལུ་ མི་དག་པ་ཅིག་འོང་ཡི།
Few people know about the plan.,འཆར་གཞི་དེ་གི་སྐོར་ལས་ མི་དག་པ་ཅིག་གིས་ཤེས།
Fighting won't settle anything.,འཐབ་འཛིང་འབད་མི་འདི་གིས་ ག་ཅི་གནས་བཅའ་འབད་མི་ཚུགས།
"Finally, I finished a painting.",མཐའ་འཇུག་ལུ་ ང་གིས་ཚོན་གཏང་ཚར་ཡི།
Flying a kite can be dangerous.,ཤོག་བྱ་འཕུར་ནི་འདི་ཉེན་ཁ་ཅན་ཅིག་འོང་སྲིད།
"Folks, it's time I was leaving.",ཆ་རོགས་ཚུ་ དུས་ཚོད་དེ་ ང་འགྱོ་བའི་དུས་ཚོད་སྡོད་ཡི།
Food is essential for survival.,ལྟོ་འདི་འཚོ་བའི་གནས་སྟངས་ལུ་ མཁོ་ཆེ་བ་ཅིག་ཨིན།
Forty people can't fit in here.,མི་བཞི་བཅུ་ འ་ནཱ་ལུ་ཤོང་མི་ཚུགས།
"Frankly, I don't like that man.",ཕྲང་སྟེ་སླབ་པ་ཅིན་ ང་གིས་ཨ་ཕི་ཕོ་སྐྱེས་འདི་མི་དགའ་བས།
French is my favorite language.,ཕེརེནཆི་འདི་ངེ་་གི་སྐད་ཡིག་དགའ་ཤོས་ཅིག་ཨིན།
French is a difficult language.,ཕེརེནཆི་འདི་ བྱམས་ཁ་སྐད་ལཱ་ཁག་ཅིག་ཨིན་མས།
French is the language of love.,ཕེརེནཆི་འདི་ བྱམས་བརྩེ་ཅན་གྱི་ཁ་སྐད་ཅིག་ཨིན་མས།
Get the bicycle out of the way.,རྐང་འཁོར་འདི་ལམ་ལས་བཏོན་ད།
Give me a blank sheet of paper.,ང་ལུ་ཤོག་ཀུ་སྟོངམ་གཅིག་གནང་ད།
Give me a little time to think.,ང་ལུ་ མནོ་བསམ་གཏང་ནིའི་དུས་ཚོད་ཨ་ཙི་ཅིག་གནང་།
Give me a white piece of paper.,ང་ལུ་ཤོག་ཀུ་དྲ་དུམ་དཀརཔོ་ཅིག་གནང་།
Give me three pieces of salmon.,ང་ལུ་ སཱལ་མཱོན་ཕུད་རྡོག་གསུམ་གནང།
Give my regards to your family.,ཁྱོད་ཀྱི་བཟའ་ཚང་ལུ་ ངེ་གི་བརྩེ་སྨོན་བྱིན་གནང།
Give us a call when you arrive.,ཁྱོད་ལུ་ལྷོདཔ་ད་ ང་བཅས་ལུ་བརྒྱུད་འཕྲིན་ཅིག་གཏང་།
Glasses and dishes were broken.,ཤེལ་དང་ཟ་ཧོད་ཚུ་ དཀྲུམས་ནུག།
Go back to where you came from.,ཁྱོད་ག་ཏེ་ལས་འོང་ཡི་ག་ ལོག་འ་དེ་ཁར་སོང་།
Grab a broom and help us clean.,ཕྱགསམ་ཅིག་བཤེད་ཞིནམ་ལས་ ང་བཅས་ལུ་ཕྱག་རོགས་འབད།
Guess who else moved to Boston.,བཱོས་ཊན་ལུ་ གཞན་ག་ར་འགྱོ་ཡི་ག་ ཕོ་ཚོད་བཀལ་བལྟ།
Half the office took a day off.,ཡིག་ཚང་ཕྱེད་ཀ་དེ་ཅིག་གིས་རང་ ངལ་གསོ་ལེན་ནུག།
Happiness is a delicate flower.,དགའ་བ་འདི་ མེ་ཏོག་མཉེན་ཏོང་ཏོ་ཅིག་ཨིན།
Has Karma's dog ever bitten Mary?,ཀརྨགི་རོ་ཁྱི་གིས་ ནམ་ར་ཨིན་རུང་མཱེ་རི་སོ་བཏབ་ཅི་ཡ།
Has the jury reached a verdict?,དྲང་དཔོན་ལྷན་ཚོགས་ཀྱིས་གྲོས་ཆོད་གུ་ལྷོད་ནུག་ཡ།
Have both of you already eaten?,ཁྱོད་གཉིས་ཆ་ སྔོན་མ་ལས་ཟ་ཡི་ཡ།
Have you already had breakfast?,ཁྱོད་ཧེ་མ་ལས་དྲོ་མཛར་ཟ་ཡི་ཡ།
Have you already paid the bill?,ཁྱོད་ཀྱིས་ ཧེ་མ་ལས་རྩིས་ཐོ་བཏབ་ཅི་ཡ།
Have you ever been to an opera?,ཁྱོད་ ཟློས་གར་ཁང་ནང་ལྷོད་མྱོང་ཡི་ཡ།
Have you ever climbed Mt. Fuji?,ཁྱོད་ཀྱིས་ གངས་རི་ཕུ་ཇི་གུ་འཛེགས་མྱོང་ཡི་ཡ།
Have you ever dreamed about me?,ཁྱོད་ཀྱིས་ ང་གི་སྐོར་ལས་གཉིད་ལམ་མཐོང་མྱོང་ཡི་ཡ།
Have you ever eaten whale meat?,ཁྱོད་ཀྱིས་ ཉ་བོ་ཆེའི་ཤ་ཟ་མྱོང་ཡི་ཡ།
Have you ever flown in a blimp?,ཁྱོད་ཀྱིས་ གཤོག་མེད་གནམ་གྲུ་ནང་ལུ་ འཕུར་མྱོང་ཡི་ཡ།
Have you ever had a girlfriend?,ཁྱོད་ལུ་ ཨ་རོགས་དགའ་རོགས་ཅིག་སྡོད་མྱོང་ཡི་ག།
Have you ever opened this door?,ཁྱོད་ཀྱིས་ འ་ནཱི་སྒོ་འདི་ཕྱེ་མྱོང་ཡི་ག།
Have you ever seen Tokyo Tower?,ཁྱོད་ཀྱིས་ ཊོ་ཀི་ཡོ་ཊ་ཝར་མཐོང་མྱོང་ཡི་ག།
Have you ever seen an elephant?,ཁྱོད་ཀྱིས་ གླངམོ་ཆེ་མཐོང་མྱོང་ཡི་ག།
Have you finished the work yet?,ཁྱོད་ཀྱིས་ ད་ལྟོ་ལཱ་མཇུག་བསྡུ་ཡི་ཡ།
Have you found a place to live?,ཁྱོད་ཀྱིས་སྡོད་ནིའི་ས་གནས་འཚོལ་ཐོབ་ཅི་ག།
Have you seen all these movies?,ཁྱོད་ཀྱིས་ཨ་ནཱི་གློག་བརྙན་ག་ར་བལྟ་ཡི་ག།
Have you turned in your report?,ཁྱོད་རའི་སྙན་ཞུ་འདི་སྙན་གསན་འབད་ཡི་ག།
Have you worked the puzzle out?,ཁྱོད་ཀྱིས་མགུ་འཐོམ་མི་འདི་ལཱ་འབད་ཡི་ག།
Haven't you ever kissed a girl?,ཁྱོད་ཀྱིས་ནམ་ར་ཨིན་རུང་བུམོ་འུ་བཀལ་ཡི་ག།
He accused the man of stealing.,ཁོ་གིས་ཕོ་རྒྱས་འདི་ཨརཝ་བརྐུ་མི་ལུ་ཉེས་འཛུགས་འབད་ཡི།
He acted the part of King Lear.,ཁོ་གིས་རྒྱལཔོ་ལཱི་ཡར་གྱི་ལེའུ་འཁྲབསྟོན་རྩེད་ཡི།
He admitted that he was guilty.,ཁོ་ཉེས་ཅན་ཨིན་ཟེར་ཁོ་གིས་ཁས་ལེན་འབད་ཡི།
He advised us against doing it.,ཁོ་གིས་ང་བཅས་ལུ་འདི་མ་འབད་ཟེར་ཁ་བཀོད་གནང་ཡི།
He always leaves home at seven.,ཁོ་ཨ་རྟག་ར་ཁྱིམ་ནང་ཆུ་ཚོད་བདུན་ལུ་འགྱོཝ་ཨིན།
He always takes sides with her.,ཁོ་ཨ་རྟག་ར་མོ་གི་ཕྱོགས་འབདཝ་མས།
He always wears his school tie.,ཁོ་གིས་ཨ་རྟག་ར་ཁོ་རའི་སློབ་གྲྭའི་སྐེ་རྒྱན་བཏགསཔ་་མས།
He and I are childhood friends.,ཁོ་དང་ང་འདི་ཆུང་ཀུ་བསྒང་ལས་ར་ཆ་རོགས་ཨིན།
He and I are in the same class.,ཁོ་དང་ང་འདི་སློབ་ཁང་གཅིག་ནང་ཨིན།
He answered my question easily.,ཁོ་གིས་ངེའི་དྲི་བའི་ལན་འཇམ་ཏོང་ཏོ་སྦེ་རྐྱབ་ཅི།
He arrived after the bell rang.,ཁོ་བརྡ་དྲིལ་བརྡུང་ཚར་བའི་ཤུལ་མ་ལྷོད་ཅི།
He arrived as soon as he could.,ཁོ་ག་དེ་མགྱོགས་མགྱོགས་ལྷོད་ཚུགསཔ་ལྷོད་ནུག།
He asked a few questions of me.,ཁོ་གིས་ང་གི་སྐོར་ལས་དྲི་བ་དག་པ་ཅིག་འདྲི་དེས།
He asked his friend for advice.,ཁོ་གིས་བསླབ་བྱའི་དོན་ལུ་ཁོ་གི་ཆ་རོགས་ལུ་དྲིས་ནུག།
He asked me to wake him at six.,ཁོ་གིས་ང་ལུ་ཁོ་ཆུ་ཚོད་དྲུག་ལུ་ལྷོང་ཟེར་སླབ་དེས།
